Strain_a,Strain_b,Similarity*
A/Singapore/Infimh-16-0019/2016,A/Nagano/2153/2017,0
A/Singapore/Infimh-16-0019/2016,A/Sweden/3/2017,0
A/Singapore/Infimh-16-0019/2016,A/Moramanga/1907/2017,1
A/Singapore/Infimh-16-0019/2016,A/Helsinki/823/2013,1
A/Singapore/Infimh-16-0019/2016,A/Helsinki/941/2013,1
A/Singapore/Infimh-16-0019/2016,A/Ohio/13/2017,1
A/Singapore/Infimh-16-0019/2016,A/Ohio/62/2012,1
A/Singapore/Infimh-16-0019/2016,A/Ontario/Rv3236/2016,1
A/Singapore/Infimh-16-0019/2016,A/Indiana/08/2011,1
A/Singapore/Infimh-16-0019/2016,A/Minnesota/11/2010,1
A/Wisconsin/16/2015,A/Hong_Kong/3089/2017,1
A/Wisconsin/16/2015,A/Nagano/2153/2017,1
A/Wisconsin/16/2015,A/Sweden/3/2017,1
A/Wisconsin/16/2015,A/Moramanga/1907/2017,1
A/Wisconsin/16/2015,A/Helsinki/823/2013,1
A/Wisconsin/16/2015,A/Helsinki/941/2013,1
A/Wisconsin/16/2015,A/Ohio/13/2017,1
A/Wisconsin/16/2015,A/Ohio/62/2012,1
A/Wisconsin/16/2015,A/Ontario/Rv3236/2016,1
A/Wisconsin/16/2015,A/Indiana/08/2011,1
A/Wisconsin/16/2015,A/Minnesota/11/2010,1
A/Hong_Kong/3089/2017,A/Nagano/2153/2017,0
A/Hong_Kong/3089/2017,A/Sweden/3/2017,0
A/Hong_Kong/3089/2017,A/Moramanga/1907/2017,0
A/Hong_Kong/3089/2017,A/Helsinki/823/2013,1
A/Hong_Kong/3089/2017,A/Helsinki/941/2013,1
A/Hong_Kong/3089/2017,A/Ohio/13/2017,1
A/Hong_Kong/3089/2017,A/Ohio/62/2012,1
A/Hong_Kong/3089/2017,A/Ontario/Rv3236/2016,1
A/Hong_Kong/3089/2017,A/Indiana/08/2011,1
A/Hong_Kong/3089/2017,A/Minnesota/11/2010,1
A/Nagano/2153/2017,A/Sweden/3/2017,1
A/Nagano/2153/2017,A/Moramanga/1907/2017,1
A/Nagano/2153/2017,A/Helsinki/823/2013,1
A/Nagano/2153/2017,A/Helsinki/941/2013,1
A/Nagano/2153/2017,A/Ohio/13/2017,1
A/Nagano/2153/2017,A/Ohio/62/2012,1
A/Nagano/2153/2017,A/Ontario/Rv3236/2016,1
A/Nagano/2153/2017,A/Indiana/08/2011,1
A/Nagano/2153/2017,A/Minnesota/11/2010,1
A/Sweden/3/2017,A/Moramanga/1907/2017,0
A/Sweden/3/2017,A/Helsinki/823/2013,1
A/Sweden/3/2017,A/Helsinki/941/2013,1
A/Sweden/3/2017,A/Ohio/13/2017,1
A/Sweden/3/2017,A/Ohio/62/2012,1
A/Sweden/3/2017,A/Ontario/Rv3236/2016,1
A/Sweden/3/2017,A/Indiana/08/2011,1
A/Sweden/3/2017,A/Minnesota/11/2010,1
A/Moramanga/1907/2017,A/Helsinki/823/2013,1
A/Moramanga/1907/2017,A/Helsinki/941/2013,1
A/Moramanga/1907/2017,A/Ohio/13/2017,1
A/Moramanga/1907/2017,A/Ohio/62/2012,1
A/Moramanga/1907/2017,A/Ontario/Rv3236/2016,1
A/Moramanga/1907/2017,A/Indiana/08/2011,1
A/Moramanga/1907/2017,A/Minnesota/11/2010,1
A/Helsinki/823/2013,A/Helsinki/941/2013,0
A/Helsinki/823/2013,A/Ohio/13/2017,1
A/Helsinki/823/2013,A/Ohio/62/2012,1
A/Helsinki/823/2013,A/Ontario/Rv3236/2016,1
A/Helsinki/823/2013,A/Indiana/08/2011,1
A/Helsinki/823/2013,A/Minnesota/11/2010,1
A/Helsinki/941/2013,A/Ohio/13/2017,1
A/Helsinki/941/2013,A/Ohio/62/2012,1
A/Helsinki/941/2013,A/Ontario/Rv3236/2016,1
A/Helsinki/941/2013,A/Indiana/08/2011,1
A/Helsinki/941/2013,A/Minnesota/11/2010,1
A/Ohio/13/2017,A/Ohio/62/2012,1
A/Ohio/13/2017,A/Ontario/Rv3236/2016,1
A/Ohio/13/2017,A/Indiana/08/2011,1
A/Ohio/13/2017,A/Minnesota/11/2010,0
A/Ohio/62/2012,A/Ontario/Rv3236/2016,1
A/Ohio/62/2012,A/Indiana/08/2011,0
A/Ohio/62/2012,A/Minnesota/11/2010,1
A/Ontario/Rv3236/2016,A/Indiana/08/2011,1
A/Ontario/Rv3236/2016,A/Minnesota/11/2010,1
A/Indiana/08/2011,A/Minnesota/11/2010,0
* '1' represents dissimilarity.,,
Abbreviation: NA=neuraminidase .,,
